X,Y,DUSTBIN_ID,SUB_ZONE,CAPACITY,PERMANENT,LOCALITY,WARD_ID,TYPE,LATITUDE,LONGITUDE,TIME_ST,Ward,Zone
699958.6387,2801169.801,D0061,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31373,82.98638,02-06-2018,Shivpurwa,Dashaswamedh
699882.7273,2800991.395,D0062,Dashaswamedh,1.1,Temporary,"D59/143/A-3, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31213,82.9856,02-06-2018,Shivpurwa,Dashaswamedh
701418.7317,2799230.355,D0063,Bhelupur,1.1,Temporary,"Bhelupur, Varanasi, UP, India",W045,Dustbin,25.29603,83.00059,02-06-2018,Bhelupur,Bhelupur
700225.685,2800887.899,D0064,Dashaswamedh,1.1,Temporary,"Rajghat, Varanasi, UP, India",W032,Dustbin,25.31115,82.98899,02-06-2018,Sigra,Dashaswamedh
703754.6388,2803628.835,D0065,Adampur,1.1,Temporary,"Madan Mohan Malviya Rd, Lath Saraiya, Jalalipura, Varanasi, Uttar Pradesh 221001, India",W039,Dustbin,25.33541,83.02444,02-06-2018,Zalalipura,Adampur
699909.9305,2800990.69,D0066,Dashaswamedh,1.1,Temporary,"Lahurabeer, Varanasi, UP, India",W004,Dustbin,25.31212,82.98587,02-06-2018,Shivpurwa,Dashaswamedh
699897.749,2800997.158,D0067,Dashaswamedh,1.1,Temporary,"D59/143/A-3, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31218,82.98575,02-06-2018,Shivpurwa,Dashaswamedh
699861.8608,2801176.122,D0068,Dashaswamedh,1.1,Temporary,"L-10, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.3138,82.98542,02-06-2018,Shivpurwa,Dashaswamedh
699816.1065,2801001.488,D0069,Dashaswamedh,1.1,Temporary,"Shivpurwa, Varanasi 221010, India",W004,Dustbin,25.31223,82.98494,02-06-2018,Shivpurwa,Dashaswamedh
699826.9548,2804615.954,D0070,Sikraul,1.1,Temporary,"Lucknow - Varanasi Rd, DIG Colony, Varanasi, Uttar Pradesh 221102, India",W034,Dustbin,25.34485,82.98558,02-06-2018,Khajuri,Varunapar
701995.0013,2800636.173,D0071,Dashaswamedh,1.1,Temporary,"Godowlia, Varanasi 221001, India",W069,Dustbin,25.30864,83.00652,02-06-2018,Jangambadi,Dashaswamedh
699890.7826,2800991.514,D0072,Dashaswamedh,1.1,Temporary,"D59/143/A-3, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31213,82.98568,02-06-2018,Shivpurwa,Dashaswamedh
698696.5865,2799947.864,D0073,Dashaswamedh,1.1,Temporary,"Manduadih Flyover, Mahmoorganj, Varanasi, Uttar Pradesh 221010, India",W019,Dustbin,25.30287,82.97367,02-06-2018,Tulsipur,Dashaswamedh
700990.193,2800274.355,D0074,Bhelupur,1.1,Temporary,"Kamachha Tiraha, Guru Bagh, Kamachha, Varanasi 221010, India",W027,Dustbin,25.30551,82.99649,02-06-2018,Virdopur,Bhelupur
700088.5116,2800629.914,D0075,Dashaswamedh,1.1,Temporary,"D 59/98 A-14, Sigra - Mahmoorganj Rd, Sampoornanand Nagar Colony, Mahmoorganj, Varanasi, Uttar Pradesh 221010, India",W032,Dustbin,25.30884,82.98759,02-06-2018,Sigra,Dashaswamedh
701868.5825,2805912.875,D0076,Sarnath,1.1,Temporary,"Morya Vihar, Varanasi, UP, India",W026,Dustbin,25.35628,83.00605,04-06-2018,Paharia,Varunapar
699806.1799,2801127.653,D0077,Dashaswamedh,1.1,Temporary,"C33/360-A-8, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31337,82.98486,04-06-2018,Shivpurwa,Dashaswamedh
699822.5859,2801107.952,D0078,Dashaswamedh,1.1,Temporary,"C33/360-A-8, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31319,82.98502,04-06-2018,Shivpurwa,Dashaswamedh
699958.6715,2801167.585,D0079,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31371,82.98638,04-06-2018,Shivpurwa,Dashaswamedh
699823.5272,2801112.398,D0080,Dashaswamedh,1.1,Temporary,"C33/360-A-8, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31323,82.98503,04-06-2018,Shivpurwa,Dashaswamedh
699979.1992,2801073.709,D0081,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31286,82.98657,04-06-2018,Shivpurwa,Dashaswamedh
698902.2848,2800000.755,D0082,Dashaswamedh,1.1,Temporary,"Mahmoorganj Rd, Mahmoorganj, Varanasi, Uttar Pradesh 221010, India",W019,Dustbin,25.30332,82.97572,04-06-2018,Tulsipur,Dashaswamedh
700195.1301,2801182.174,D0083,Dashaswamedh,1.1,Temporary,"Sigra Chauraha Rd, Chhittupura, Chetganj, Varanasi, Uttar Pradesh 221002, India",W004,Dustbin,25.31381,82.98873,04-06-2018,Shivpurwa,Dashaswamedh
698536.6379,2799318.387,D0084,Nagwa,1.1,Temporary,"Kakarmatta, Varanasi, UP, India",W059,Dustbin,25.29721,82.97199,04-06-2018,Raneepur,Bhelupur
700069.8293,2802024.612,D0085,Chetganj,1.1,Temporary,"C-32/4, Vidyapeeth Rd, Englishiyaline, Vidya Vihar Colony, Shivpurwa, Varanasi, Uttar Pradesh 221002, India",W003,Dustbin,25.32143,82.98761,04-06-2018,Lahartara,Dashaswamedh
700048.763,2799506.92,D0086,Nagwa,1.1,Temporary,"Mahamoorganj, Varanasi, UP, India",W025,Dustbin,25.29871,82.98703,04-06-2018,Jolha North,Bhelupur
700337.0733,2804369.8,D0087,Sikraul,1.1,Temporary,"S8/425, Maqbool Alam Rd, Khajuri Colony, Varanasi, Uttar Pradesh 221002, India",W034,Dustbin,25.34256,82.99061,04-06-2018,Khajuri,Varunapar
703918.2275,2802999.732,D0088,Adampur,1.1,Temporary,"A36/49A2, Golgadda Rd, Ganga Nagar Colony, Aalampura, Varanasi, Uttar Pradesh 221001, India",W008,Dustbin,25.32971,83.02597,04-06-2018,Rajghat,Adampur
700204.1283,2800915.279,D0089,Dashaswamedh,1.1,Temporary,"Sigra Chauraha Rd, Sigra, Varanasi, Uttar Pradesh 221001, India",W004,Dustbin,25.3114,82.98878,04-06-2018,Shivpurwa,Dashaswamedh
700106.6847,2800355.399,D0090,Dashaswamedh,1.1,Temporary,"B 37/121 A, Mahmoorganj Rd, Medagin, Khanna villa Colony, Bhelupur, Varanasi, Uttar Pradesh 221010, India",W032,Dustbin,25.30636,82.98773,04-06-2018,Sigra,Dashaswamedh
697916.3169,2805548.365,D0091,Sikraul,1.1,Temporary,"S-1/4-39, Kautilya Kon Rd, Gilat Bazar, Chotta Chuppepur, Varanasi, Uttar Pradesh 221003, India",W017,Dustbin,25.35352,82.96674,04-06-2018,Narayanpur,Varunapar
699955.6344,2801168.648,D0092,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31372,82.98635,04-06-2018,Shivpurwa,Dashaswamedh
700595.0642,2802596.394,D0093,Sikraul,1.1,Temporary,"C27/249-17, Maldahiya Rd, Vivekanand Nagar, Jagatganj, Vivekanand Colony, Varanasi, Uttar Pradesh 221001, India",W018,Dustbin,25.32652,82.99291,04-06-2018,Nadesar,Varunapar
699822.1591,2801136.753,D0094,Dashaswamedh,1.1,Temporary,"C33/360-A-8, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31345,82.98502,04-06-2018,Shivpurwa,Dashaswamedh
699955.6344,2801168.648,D0095,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31372,82.98635,04-06-2018,Shivpurwa,Dashaswamedh
698792.457,2797815.287,D0096,Nagwa,1.1,Temporary,"Choti Patiya Bajardiha, Shree Ganesh Dham Colony, Sundarpur, Nagwa, Varanasi, Uttar Pradesh 221005, India",W013,Dustbin,25.28361,82.97431,04-06-2018,Nevada,Bhelupur
700254.6042,2799414.685,D0097,Nagwa,1.1,Temporary,"Mahamoorganj, Varanasi, UP, India",W025,Dustbin,25.29785,82.98906,04-06-2018,Jolha North,Bhelupur
700393.059,2801552.971,D0098,Chetganj,1.1,Temporary,"C19/135-7, Lallapura Rd, Gulab Bagh Colony, Chetganj, Varanasi, Uttar Pradesh 221001, India",W041,Dustbin,25.31713,82.99075,04-06-2018,Lallapura Khurd,Dashaswamedh
699093.4673,2800491.093,D0099,Dashaswamedh,1.1,Temporary,"72, Nirala Nagar, Mahmoorganj, Varanasi, Uttar Pradesh 221010, India",W032,Dustbin,25.30772,82.97769,04-06-2018,Sigra,Dashaswamedh
700870.9261,2800505.26,D0100,Bhelupur,1.1,Temporary,"Gurubagh Road, Guru Bagh, Kamachha, Varanasi 221010, India",W027,Dustbin,25.30761,82.99534,04-06-2018,Virdopur,Bhelupur
700394.0329,2801555.202,D0101,Chetganj,1.1,Temporary,"C19/135-7, Lallapura Rd, Gulab Bagh Colony, Chetganj, Varanasi, Uttar Pradesh 221001, India",W041,Dustbin,25.31715,82.99076,04-06-2018,Lallapura Khurd,Dashaswamedh
699957.566,2801174.217,D0102,Chetganj,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W002,Dustbin,25.31377,82.98637,04-06-2018,Chhittupur,Dashaswamedh
702618.7225,2806108.08,D0103,Sarnath,1.1,Temporary,"Paharia, Varanasi, UP, India",W030,Dustbin,25.35794,83.01353,04-06-2018,Akatha,Varunapar
700206.4505,2801437.183,D0104,Chetganj,1.1,Temporary,"Sajan Tiraha, Sigra, Varanasi 221010, India",W041,Dustbin,25.31611,82.98888,04-06-2018,Lallapura Khurd,Dashaswamedh
700520.0097,2805134.834,D0105,Sarnath,1.1,Temporary,"Pandeypur Chauraha, Varanasi, UP, India",W016,Dustbin,25.34944,82.99254,04-06-2018,Pandeypur,Varunapar
699959.6784,2801167.6,D0106,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31371,82.98639,04-06-2018,Shivpurwa,Dashaswamedh
700443.1521,2801976.974,D0107,Chetganj,1.1,Temporary,"Chetganj Road, Badshahbag Colony, Kashi Vidyapith, Chetganj, Varanasi, Uttar Pradesh 221002, India",W041,Dustbin,25.32095,82.99131,04-06-2018,Lallapura Khurd,Dashaswamedh
703803.5624,2807313.787,D0108,Sarnath,1.1,Temporary,"Sarnath, Uttar Pradesh. 62 m from General Shop pin-221007 (India)",W030,Dustbin,25.36866,83.02548,04-06-2018,Akatha,Varunapar
699961.6594,2801169.845,D0109,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31373,82.98641,04-06-2018,Shivpurwa,Dashaswamedh
702341.26,2800985.957,D0110,Chowk,1.1,Temporary,"Arya Samaj Marg, Beniabagh, Varanasi 221001, India",W081,Dustbin,25.31175,83.01001,04-06-2018,Dashashwamedh,Kotwali
700192.093,2801183.237,D0111,Dashaswamedh,1.1,Temporary,"Sigra Chauraha Rd, Chhittupura, Chetganj, Varanasi, Uttar Pradesh 221002, India",W004,Dustbin,25.31382,82.9887,04-06-2018,Shivpurwa,Dashaswamedh
700423.4273,2800593.891,D0112,Dashaswamedh,1.1,Temporary,"Chittanpura, Varanasi, UP, India",W032,Dustbin,25.30847,82.99091,04-06-2018,Sigra,Dashaswamedh
699792.0996,2801126.336,D0113,Dashaswamedh,1.1,Temporary,"C33/360-A-7, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31336,82.98472,04-06-2018,Shivpurwa,Dashaswamedh
700080.1526,2800786.018,D0114,Dashaswamedh,1.1,Temporary,"D59/74-A1, Sigra, Varanasi, Uttar Pradesh 221010, India",W032,Dustbin,25.31025,82.98753,04-06-2018,Sigra,Dashaswamedh
699846.5767,2800984.211,D0115,Dashaswamedh,1.1,Temporary,"D59/143-17, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31207,82.98524,04-06-2018,Shivpurwa,Dashaswamedh
700701.9031,2803130.937,D0116,Sikraul,1.1,Temporary,"S14/18, Teliyabag, Andhrapull, Chaukaghat, Varanasi, Uttar Pradesh 221002, India",W037,Dustbin,25.33133,82.99405,04-06-2018,Jagatganj,Varunapar
699952.5972,2801169.711,D0117,Dashaswamedh,1.1,Temporary,"Nagar Nigam Rd, Chhittupura, Sigra, Varanasi, Uttar Pradesh 221010, India",W004,Dustbin,25.31373,82.98632,04-06-2018,Shivpurwa,Dashaswamedh
701650.5826,2797937.447,D0118,Bhelupur,1.1,Temporary,"Janaki Baug Colony, Varanasi, UP, India",W011,Dustbin,25.28433,83.0027,04-06-2018,Nagwa,Bhelupur
700079.4162,2800631.995,D0119,Dashaswamedh,1.1,Temporary,"D 59/98 A-14, Sigra - Mahmoorganj Rd, Sampoornanand Nagar Colony, Mahmoorganj, Varanasi, Uttar Pradesh 221010, India",W032,Dustbin,25.30886,82.9875,04-06-2018,Sigra,Dashaswamedh
700191.6265,2800807.617,D0120,Dashaswamedh,1.1,Temporary,"Shakti Plaza Tower, Rathyatra Sigra Rd, Sigra, Varanasi, Uttar Pradesh 221010, India",W032,Dustbin,25.31043,82.98864,04-06-2018,Sigra,Dashaswamedh
698856.0365,2805658.612,D0121,Sikraul,1.1,Temporary,"S-25/54, Sindhora Rd, VDA Colony, Varanasi, Uttar Pradesh 221003, India",W006,Dustbin,25.35439,82.97609,04-06-2018,Sarsauli,Varunapar
